stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\40161070\Documents\GitHub\Cps\coursework 2\code\NBody\Debug\allegro5.cfg r
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00000] Also searching C:\Users\40161070\Documents\GitHub\Cps\coursework 2\code\NBody\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:263  al_install_system                [   0.00000] Allegro version: 5.2.3
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00026] Also searching C:\Users\40161070\Documents\GitHub\Cps\coursework 2\code\NBody\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00039] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00040] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:702  load_library_at_path             [   0.01567] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.04431] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.04481] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.04484] al_display=00159FC8
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.04486] al_display->vt=0006E5A8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04832] found 160 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.04835] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04837] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04839] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04840] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04842] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.04843] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.04845] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.04846] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.04848] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.04849] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.04851] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04854] Score is : 897
